slug,old_category,new_category,title
"result-of-fourth-professional-mbbs-fourth-year-annual-examination-session-2018-2019-of-chandka-medical-college-larkana-ghulam-muhammad-mahar-medical-college-sukkur-and-gambat-medical-college-gambat-held-in-the-month-of-january-2023-05-26-2023","circular","examination","Result of Fourth Professional MBBS, Fourth Year (Annual) Examination, Session 2018-2019 of Chandka Medical College Larkana, Ghulam Muhammad Mahar Medical College Sukkur and Gambat Medical College Gambat held in the month of January 2023"
"result-of-postgraduate-degree-theory-examination-september-2022-held-in-the-month-of-may-2023-05-26-2023","circular","examination","Result of. Postgraduate Degree (Theory) Examination September 2022 held in the month of May 2023."
"result-of-bs-post-rn-additional-subjects-examination-session-2012-14-of-benazir-college-of-nursing-smbbmu-larkana-held-in-the-month-of-december-2022-05-22-2023","circular","examination","Result of BS POST-RN Additional Subjects Examination Session 2012-14 of Benazir College of Nursing, SMBBMU Larkana, held in the month of December 2022"
"result-of-bsn-generic-year-ll-semester-v-regular-examination-session-2019-20-of-benazir-college-of-nursing-smbbmu-larkana-held-in-the-month-of-march-2023-05-22-2023","circular","examination","Result of BSN (GENERIC) Year-ll Semester-|V Regular Examination Session 2019-20 of Benazir College of Nursing, SMBBMU Larkana, held in the month of March 2023"
"result-of-postgraduate-degree-clinical-examination-march-2022-held-in-the-month-of-may-2023-05-22-2023","circular","examination","Result of Postgraduate Degree Clinical Examination March 2022 held in the month of May 2023"
"result-of-third-professional-mbbs-third-year-annual-examination-session-2019-2020-of-chandka-medical-college-larkana-ghulam-muhammad-mahar-medical-college-sukkur-and-gambat-medical-college-gambat-held-in-the-month-of-january-2023-05-22-2023","circular","examination","Result of Third Professional MBBS, Third Year (Annual) Examination, Session 2019-2020 of Chandka Medical College Larkana, Ghulam Muhammad Mahar Medical College Sukkur and Gambat Medical College Gambat held in the month of January 2023"
"result-of-bsngeneric-year-i-semester-ii-regular-examination-session-2021-22-05-11-2023","circular","examination","Result of BSN(Generic) Year-I, Semester-II Regular Examination Session 2021-22"
"result-of-the-final-professional-mbbs-final-year-examination-held-in-the-month-of-january-2023-05-05-2023","circular","examination","Result of the Final Professional MBBS Final Year Examination held in the month of January 2023"
"admissions-for-english-language-certification-courses-05-03-2023","circular","admission","Admissions for English Language Certification Courses"
"corrigendum-for-admission-in-leftover-postgraduate-courses-session-jan-2023-03-24-2023","circular","admission","Corrigendum for Admission in leftover Postgraduate Courses Session Jan-2023"
"declaration-of-result-of-post-graduate-examination-of-diploma-in-dermatology-session-march-2022-held-in-the-month-of-january-2023-01-28-2023","circular","examination","Declaration of Result of Post Graduate Examination of Diploma in Dermatology session March 2022 held in the month  of January 2023"
"time-table-for-clinical-examination-of-diploma-in-dermatology-march-2022-01-19-2023","circular","examination","Time Table for Clinical examination of Diploma in Dermatology March 2022"
"applications-are-invited-for-admissions-to-bs-nursinggeneric-bsc-nursing-post-rn-at-benazir-college-of-nursing-smbbmu-larkana-01-14-2023","circular","admission","Applications are invited for: ADMISSIONS TO BS Nursing(Generic) & B.Sc Nursing (Post RN) at Benazir College of Nursing SMBBMU Larkana"
"applications-are-invited-from-interested-candidates-for-admissions-to-1-st-year-pharm-d-dpt-course-session-2022-23-at-smbbmu-larkana-01-14-2023","circular","admission","Applications are invited from Interested Candidates for: ADMISSIONS TO 1 st Year Pharm-D / DPT Course Session 2022-23 At SMBBMU Larkana"
"postgraduate-interview-schedule-for-the-session-january-2023-at-smbb-medical-university-larkana-01-10-2023","circular","job","Postgraduate interview schedule for the session January 2023 at SMBB Medical University Larkana"
"schedule-of-examination-for-4th-and-5th-mbbs-professional-session-2018-19-2017-18-enrolled-at-smbb-medical-university-larkana-and-its-constituent-collages-01-04-2023","circular","examination","Schedule of Examination for 4th and 5th MBBS Professional  (Session 2018 - 19, 2017 - 18) enrolled at SMBB Medical University Larkana and It's constituent Collages"
"announcement-of-result-of-various-postgraduate-courses-held-in-december-2022-session-january-2023-01-04-2023","circular","examination","Announcement of result of various Postgraduate courses held in December 2022 (Session January 2023)"
